Compiler,ImportFunctions
Binaryen,./js_framework_benchmark_simi.__wbindgen_is_undefined
Binaryen,./js_framework_benchmark_simi.__wbindgen_object_clone_ref
Binaryen,./js_framework_benchmark_simi.__widl_f_create_element_Document
Binaryen,./rust_webpack.__widl_f_insert_before_Node
Binaryen,wasi_unstable.path_rename
Binaryen,env.__cargo_web_snippet_e9638d6405ab65f78daf4a5af9c9de14ecf1e2ec
Binaryen,wasi_unstable.fd_pread
Binaryen,env.__cargo_web_snippet_91749aeb589cd0f9b17cbc01b2872ba709817982
Binaryen,./js_framework_benchmark_simi.__wbg_getRandomValues_5581e85fc6616df6
Binaryen,./js_framework_benchmark_simi.__widl_f_set_attribute_Element
Binaryen,./rust_webpack.__wbindgen_is_undefined
Binaryen,./index.js.__widl_f_tag_name_Element
Binaryen,./js_framework_benchmark_simi.__widl_f_set_text_content_Node
Binaryen,./rust_webpack.__widl_f_body_Document
Binaryen,wbg.__wbg_call_4499dca0c553c196
Binaryen,./rust_webpack.__wbg_new_d87f272aec784ec0
Binaryen,wbg.__wbindgen_string_new
Binaryen,./rust_webpack.__widl_f_create_object_url_with_blob_URL
Binaryen,wbg.__wbg_instanceof_Error_3c415a41cc2164b9
Binaryen,./https_everywhere_lib_wasm.__wbg_add_13b2529fbab4a8fd
Binaryen,./rust_webpack.__wbg_call_8d65200c7bc9d2d9
Binaryen,./https_everywhere_lib_wasm.__wbindgen_is_object
Binaryen,./index.js.__wbg_removeevent_c1c53d84f99418b3
Binaryen,wbg.__wbindgen_closure_wrapper128
Binaryen,wbg.__widl_f_save_CanvasRenderingContext2D
Binaryen,env.__cargo_web_snippet_99c4eefdc8d4cc724135163b8c8665a1f3de99e4
Binaryen,./index.js.__widl_f_set_inner_html_Element
Binaryen,./index.js.__wbindgen_cb_drop
Binaryen,./js_framework_benchmark_simi.__wbindgen_number_get
Binaryen,./js_framework_benchmark_simi.__wbg_self_58232ab37cbe6608
Binaryen,./js_framework_benchmark_simi.__wbindgen_jsval_eq
