Compiler,ImportFunctions
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_is_undefined
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_object_clone_ref
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_create_element_Document
wasm-bindgen,./rust_webpack.__widl_f_insert_before_Node
wasm-bindgen,wasi_unstable.path_rename
wasm-bindgen,env.__cargo_web_snippet_e9638d6405ab65f78daf4a5af9c9de14ecf1e2ec
wasm-bindgen,wasi_unstable.fd_pread
wasm-bindgen,env.__cargo_web_snippet_91749aeb589cd0f9b17cbc01b2872ba709817982
wasm-bindgen,./js_framework_benchmark_simi.__wbg_getRandomValues_5581e85fc6616df6
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_set_attribute_Element
wasm-bindgen,./rust_webpack.__wbindgen_is_undefined
wasm-bindgen,./index.js.__widl_f_tag_name_Element
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_set_text_content_Node
wasm-bindgen,./rust_webpack.__widl_f_body_Document
wasm-bindgen,wbg.__wbg_call_4499dca0c553c196
wasm-bindgen,./rust_webpack.__wbg_new_d87f272aec784ec0
wasm-bindgen,wbg.__wbindgen_string_new
wasm-bindgen,./rust_webpack.__widl_f_create_object_url_with_blob_URL
wasm-bindgen,wbg.__wbg_instanceof_Error_3c415a41cc2164b9
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_add_13b2529fbab4a8fd
wasm-bindgen,./rust_webpack.__wbg_call_8d65200c7bc9d2d9
wasm-bindgen,./https_everywhere_lib_wasm.__wbindgen_is_object
wasm-bindgen,./index.js.__wbg_removeevent_c1c53d84f99418b3
wasm-bindgen,wbg.__wbindgen_closure_wrapper128
wasm-bindgen,wbg.__widl_f_save_CanvasRenderingContext2D
wasm-bindgen,env.__cargo_web_snippet_99c4eefdc8d4cc724135163b8c8665a1f3de99e4
wasm-bindgen,./index.js.__widl_f_set_inner_html_Element
wasm-bindgen,./index.js.__wbindgen_cb_drop
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_number_get
wasm-bindgen,./js_framework_benchmark_simi.__wbg_self_58232ab37cbe6608
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_jsval_eq
wasm-bindgen,./rust_webpack.__wbindgen_closure_wrapper263
wasm-bindgen,./index.js.__widl_f_append_child_Node
wasm-bindgen,./rust_webpack.__widl_f_files_HTMLInputElement
wasm-bindgen,env.__cargo_web_snippet_f6358c198ebcc61c9da370cca2679c0b8bc81a7b
wasm-bindgen,./rust_webpack.__wbindgen_closure_wrapper255
wasm-bindgen,./rust_webpack.__widl_f_value_HTMLInputElement
wasm-bindgen,env.__cargo_web_snippet_d34874aef1d1baab55569b93e9039667d4475745
wasm-bindgen,env.__cargo_web_snippet_80d6d56760c65e49b7be8b6b01c1ea861b046bf0
wasm-bindgen,./https_everywhere_lib_wasm.__wbindgen_string_get
wasm-bindgen,wbg.__wbg_resolve_bacd3bf49c19a0f8
wasm-bindgen,./index.js.__widl_f_document_Window
wasm-bindgen,env.__web_on_grow
wasm-bindgen,./https_everywhere_lib_wasm.__wbindgen_is_null
wasm-bindgen,env.performance_now
wasm-bindgen,wbg.__wbindgen_string_get
wasm-bindgen,./index.js.__wbindgen_rethrow
wasm-bindgen,wasi_unstable.path_readlink
wasm-bindgen,wbg.__wbindgen_debug_string
wasm-bindgen,./rust_webpack.__wbg_error_f7214ae7db04600c
wasm-bindgen,env.__cargo_web_snippet_08a3b15e1358700ac92bc556f9e9b8af660fc2c7
wasm-bindgen,wbg.__widl_f_array_buffer_Response
wasm-bindgen,./index.js.__wbg_removeclass_d627271f8d4311f5
wasm-bindgen,./index.js.__widl_f_clone_node_with_deep_Node
wasm-bindgen,env.alert
wasm-bindgen,./index.js.__widl_f_create_element_Document
wasm-bindgen,./rust_webpack.__wbindgen_string_get
wasm-bindgen,LayaAirInteractive.getWorldTransform
wasm-bindgen,wbg.__widl_f_fill_rect_CanvasRenderingContext2D
wasm-bindgen,wasi_unstable.x
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_insert_before_Node
wasm-bindgen,env.__cargo_web_snippet_afafe9a462a05084fec65cacc7d6598e145ff3e3
wasm-bindgen,wbg.__widl_f_body_Document
wasm-bindgen,LayaAirInteractive.setWorldTransform
wasm-bindgen,wasi_unstable.path_open
wasm-bindgen,wbg.__wbg_then_3466ad801fe403b0
wasm-bindgen,./rust_webpack.__widl_instanceof_Response
wasm-bindgen,wbg.__widl_f_has_attribute_Element
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_get_element_by_id_Document
wasm-bindgen,./rust_webpack.__wbg_push_0a46668952b0a616
wasm-bindgen,wbg.__widl_f_encode_with_input_TextEncoder
wasm-bindgen,./index.js.__wbindgen_debug_string
wasm-bindgen,wbg.__wbindgen_closure_wrapper134
wasm-bindgen,./index.js.__wbg_appendchild_66446c0dfd404e41
wasm-bindgen,wbg.__wbg_new_1719c88e1a2035ea
wasm-bindgen,wbg.__widl_instanceof_Response
wasm-bindgen,./rust_webpack.__widl_f_set_attribute_Element
wasm-bindgen,./cardano_wallet_browser.__wbindgen_rethrow
wasm-bindgen,env.__cargo_web_snippet_0e54fd9c163fcf648ce0a395fde4500fd167a40b
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_done_8b0657c71869dd76
wasm-bindgen,./rust_webpack.__wbg_newnoargs_56431a307f4eb856
wasm-bindgen,./https_everywhere_lib_wasm.__wbindgen_is_undefined
wasm-bindgen,wasi_unstable.path_create_directory
wasm-bindgen,./index.js.__widl_f_set_class_name_Element
wasm-bindgen,./js_framework_benchmark_simi.__wbg_getRandomValues_2f960218fce3a102
wasm-bindgen,./https_everywhere_lib_wasm.__wbindgen_jsval_eq
wasm-bindgen,./index.js.__widl_f_get_element_by_id_Document
wasm-bindgen,./rust_webpack.__widl_f_read_as_array_buffer_FileReader
wasm-bindgen,wasi_unstable.A
wasm-bindgen,wbg.__wbg_get_003e1b80a63de7c5
wasm-bindgen,wbg.__widl_f_create_element_Document
wasm-bindgen,env.__cargo_web_snippet_7bead6b563d52eee65504adb6b76c5cacb5428d3
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_matches_Element
wasm-bindgen,env.event_loop_new
wasm-bindgen,env.logit
wasm-bindgen,env.event_loop_raf
wasm-bindgen,wbg.__widl_f_get_elements_by_tag_name_Document
wasm-bindgen,wbg.__wbindgen_closure_wrapper126
wasm-bindgen,env.__cargo_web_snippet_72fc447820458c720c68d0d8e078ede631edd723
wasm-bindgen,env.__cargo_web_snippet_f91e3759ea8e40c15404c8b089c74fe76b61421e
wasm-bindgen,wbg.__wbg_new_ed7079cf157e44d5
wasm-bindgen,env.hello
wasm-bindgen,wbg.__wbindgen_closure_wrapper122
wasm-bindgen,env.__cargo_web_snippet_ec62bad51093fd25faa38be3170e100862e191f3
wasm-bindgen,wbg.__wbindgen_throw
wasm-bindgen,./wasm_bindgen_demo.__wbg_alert_c4b76dc346d3e6f7
wasm-bindgen,wbg.__wbg_set_2c01beee50abda32
wasm-bindgen,./rust_webpack.__widl_f_local_storage_Window
wasm-bindgen,./index.js.__wbg_call_836fa928f74337e5
wasm-bindgen,wbg.__widl_f_performance_Window
wasm-bindgen,env.__cargo_web_snippet_62ef43cf95b12a9b5cdec1639439c972d6373280
wasm-bindgen,wbg.__wbindgen_closure_wrapper133
wasm-bindgen,wbg.__widl_instanceof_Window
wasm-bindgen,./js_framework_benchmark_simi.__wbg_randomFillSync_355c3fcfa754fa4e
wasm-bindgen,env.__cargo_web_snippet_ff5103e6cc179d13b4c7a785bdce2708fd559fc0
wasm-bindgen,./rust_webpack.__wbindgen_rethrow
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_value_efc53c71db10c238
wasm-bindgen,./rust_webpack.__wbg_request_782be487eaff692b
wasm-bindgen,./rust_webpack.__wbg_error_cc95a3d302735ca3
wasm-bindgen,wbg.__widl_f_location_Window
wasm-bindgen,wbg.__wbg_new_2d6a830207834e5d
wasm-bindgen,./rust_webpack.__widl_f_set_timeout_with_callback_and_timeout_and_arguments_0_Window
wasm-bindgen,wbg.__wbg_length_adb683705527add7
wasm-bindgen,./index.js.__widl_f_prevent_default_Event
wasm-bindgen,./rust_webpack.__wbg_newwithbyteoffsetandlength_e1bb839b58ed223f
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_append_child_Node
wasm-bindgen,./cardano_wallet_browser.__wbindgen_json_parse
wasm-bindgen,./rust_webpack.__widl_f_click_HTMLElement
wasm-bindgen,./rust_webpack.__widl_f_set_download_HTMLAnchorElement
wasm-bindgen,wbg.__wbg_length_b6e0c5630f641946
