Bug Details,,,,,Categorizations,,,,,,Reporting Details,,,,,,,,Reproducing Difficulty,,,,,Reduction
 ID,URL,Title,Created Date,Closed Date,WebAssembly-Specific Paradigm,Bug Fix Link,Root Cause Category,Root Cause Category 2,Bug Fix Category,Bug Fix Category 2,Source Code Snippet?,JS Code Snippet?,Stack Trace?,Incorrect Result Output/ Ground Truth Known?,Compiler Options/Command?,Compiler Version?,Runtime Environment?,Faulty WebAssembly Output?,Cannot Reproduce Locally,Developer Reported Difficult to Reproduce,Developer reported difficult to fix,Needs Additional User Action,Needs Additional Client-Side Configuration/Preconditions,Bug-Inducing Input is Simplified/Reduced in Size
52858,https://github.com/emscripten-core/emscripten/issues/10654,Atomics are miscompiled in wasm backend,2020-03-06,2020-03-06,Data Type Incompatibilities,https://github.com/emscripten-core/emscripten/commit/f89d14ed0c7e6424a8338da0edb5eeebe62e03ba,1. Incorrect Thread-Safe Types,Special Types,Change Casting Type,1. Change Type Used,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
53516,https://github.com/emscripten-core/emscripten/issues/9996,errno.h constants regression (wasi types vs preprocessor),2019-12-09,2019-12-13,Data Type Incompatibilities,https://github.com/brion/emscripten/commit/fdac20f39e2cac2f790af4d8e25cb7fa1309ffed,2. Error Code Type Change,Special Types,Change Variable Type,1. Change Type Used,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
53662,https://github.com/emscripten-core/emscripten/issues/9850,Indirect call signature mismatch with MAIN_MODULE=1,2019-11-17,2019-11-19,Data Type Incompatibilities,https://github.com/emscripten-core/emscripten/commit/1488c44c521c3d312028a81cf314ed6c8562b2c9,3. i64 Legalization Issue,Native Types,Fix return type legalization,2. Fix/Bypass Legalization,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
53950,https://github.com/emscripten-core/emscripten/issues/9562,-s MAIN_MODULE=1 + upstream + function pointer calls using i64 => TypeError: cannot pass i64 to or from JS,2019-10-02,2019-11-14,Data Type Incompatibilities,https://github.com/emscripten-core/emscripten/pull/9810/files,3. i64 Legalization Issue,Native Types,Bypass Legalization,2. Fix/Bypass Legalization,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,TRUE
56062,https://github.com/emscripten-core/emscripten/issues/7399,EMULATED_FUNCTION_POINTERS=1 issue with EH and functions returning int64,2018-10-27,2019-02-23,Data Type Incompatibilities,https://github.com/emscripten-core/emscripten/pull/8065/files,3. i64 Legalization Issue,Native Types,Fix legalization,2. Fix/Bypass Legalization,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
57077,https://github.com/emscripten-core/emscripten/issues/6352,WebAssembly: wrong conversion from double to int64 when OUTLINING_LIMIT isn't 0,2018-03-20,2019-09-26,Data Type Incompatibilities,https://github.com/emscripten-core/emscripten/pull/6371/files,4. Floating Point Precision Issue,Native Types,Add to documentation,3. Add Documentation,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
58059,https://github.com/emscripten-core/emscripten/issues/5370,64-bit code generation,2017-07-07,2019-11-20,Data Type Incompatibilities,https://github.com/emscripten-core/emscripten/pull/7498/files,3. i64 Legalization Issue,Native Types,Disable Legalization,2. Fix/Bypass Legalization,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
57004,https://github.com/emscripten-core/emscripten/issues/6425,EmterpreterAsync -O0 Float errors,2018-04-05,2018-04-06,Data Type Incompatibilities,https://github.com/emscripten-core/emscripten/commit/cbf96bcde4be30f9221597a55b507c039bd217ad,4. Unsupported Floating-Point or Precision Loss,Native Types,Add type support,4. Add/Improve Type Support,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,TRUE
59934,https://github.com/emscripten-core/emscripten/issues/3489,"Embind Reference Error: ""getTypeName is not defined""",2015-06-02,2018-04-02,Data Type Incompatibilities,https://github.com/emscripten-core/emscripten/pull/3809/files,5. Undefined Cross-Langauge Type Function,Undefined Function,Add missing function,5. Add Missing Function,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Use custom JS Code to call export,,FALSE
58152,https://github.com/emscripten-core/emscripten/issues/5277,emscripten::val::as<uint32_t> - 'RuntimeError: integer result unrepresentable' where value >= 0x80000000,2017-06-06,2018-03-30,Data Type Incompatibilities,https://github.com/juj/emscripten/commit/d57c2300656c5ea399024f641a8c42e996c25b57,6. Missing i32 Operation,Native Types,Add type support,4. Add/Improve Type Support,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Use custom JS Code to call export,,FALSE
