"ID","IssueID","BugFixCommitID","Filename","FunctionName","InFirstLineOfPatch","Language","RawURL"
1,269158,90819,src/bootstrap/native.rs,run,0,RUST,https://github.com/rust-lang/rust/raw/2921de63bb2287f6971f3fe54cae96035c8e1ec6/src/bootstrap/native.rs
2,56520,83183,tools/cache.py,get_path,1,PYTHON,https://github.com/emscripten-core/emscripten/raw/f4ef52a717475e86e7c592a11b8db86dbefa2d7b/tools/cache.py
3,59379,26538,emconfigure.py,run,1,PYTHON,https://github.com/emscripten-core/emscripten/raw/8814787b449f12ef332074b0985a2beeab4fa838/emconfigure.py
4,59379,26538,tests/test_other.py,check_makefile,1,PYTHON,https://github.com/emscripten-core/emscripten/raw/8814787b449f12ef332074b0985a2beeab4fa838/tests/test_other.py
5,59379,26538,tools/shared.py,which,1,PYTHON,https://github.com/emscripten-core/emscripten/raw/8814787b449f12ef332074b0985a2beeab4fa838/tools/shared.py
6,59395,83384,include/clang/ASTMatchers/ASTMatchersInternal.h,getID,0,C,https://github.com/juj/emscripten-fastcomp-clang/raw/5e42afd688ae6bc0c72a719f0ed9d4a6a4d50ef2/include/clang/ASTMatchers/ASTMatchersInternal.h
7,22057,82817,src/ast.ts,nodeIsGenericCallable,0,C,https://github.com/AssemblyScript/assemblyscript/raw/6d628ceb5939fb0dd658fe8ee37329f73a20e675/src/ast.ts
8,22057,82817,src/ast.ts,decoratorNameToKind,0,TS,https://github.com/AssemblyScript/assemblyscript/raw/6d628ceb5939fb0dd658fe8ee37329f73a20e675/src/ast.ts
9,22057,82817,src/ast.ts,fromNode,0,TS,https://github.com/AssemblyScript/assemblyscript/raw/6d628ceb5939fb0dd658fe8ee37329f73a20e675/src/ast.ts
10,22057,82817,src/builtins.ts,lengthof,0,TS,https://github.com/AssemblyScript/assemblyscript/raw/6d628ceb5939fb0dd658fe8ee37329f73a20e675/src/builtins.ts
11,22057,82817,src/builtins.ts,compileVisitGlobals,1,C,https://github.com/AssemblyScript/assemblyscript/raw/6d628ceb5939fb0dd658fe8ee37329f73a20e675/src/builtins.ts
12,22057,82817,src/compiler.ts,compileTopLevelStatement,0,C,https://github.com/AssemblyScript/assemblyscript/raw/6d628ceb5939fb0dd658fe8ee37329f73a20e675/src/compiler.ts
